DefaultSC.ElapsedSecs   DefaultSC.SSBMJ2000Ec.X   DefaultSC.SSBMJ2000Ec.Y   DefaultSC.SSBMJ2000Ec.Z   DefaultSC.SSBMJ2000Ec.VX   DefaultSC.SSBMJ2000Ec.VY   DefaultSC.SSBMJ2000Ec.VZ   
1296000                 -64792602.06006655        132202222.780446          30904.79555245489         -27.31508610508824         -13.03322657463508         -0.0005241849535471133     
1323000                 -65529129.9987357         131848324.4857501         30889.48116587848         -27.24241098338796         -13.18138559562994         -0.0006099324376602766     
1350000                 -66263685.37656933        131490432.0818438         30871.87713914365         -27.16897173415532         -13.32908643817241         -0.0006936863790514281     
1377000                 -66996247.66194833        131128557.9430391         30852.04556737095         -27.09477570663067         -13.47632894754465         -0.0007748328319960862     
1404000                 -67726796.51762143        130762714.4394367         30830.06520159543         -27.01982993407512         -13.62311358833511         -0.0008527532467521581     
1431000                 -68455311.79093538        130392913.9204437         30806.03146499395         -26.9441410416227          -13.76944142408881         -0.0009268326408999883     
1458000                 -69181773.50155734        130019168.6990639         30780.05623561889         -26.86771515320215         -13.91531408009437         -0.0009964687111754245     
1485000                 -69906161.8267111         129641491.0374348         30752.26737245172         -26.79055780110003         -14.06073368826221         -0.001061081663983998      
1512000                 -70628457.08405176        129259893.1340963         30722.8079700321          -26.71267384215327         -14.20570281392123         -0.001120124465718853      
1539000                 -71348639.71241404        128874387.1134726         30691.835334301           -26.63406738474323         -14.35022436536514         -0.001173093147992077      
1566000                 -72066690.2507813         128484985.0180086         30659.51968439668         -26.55474173065934         -14.49430148808147         -0.00121953675423736       
1593000                 -72782589.31591898        128091698.8033406         30626.04259546101         -26.47469933547335         -14.63793744668678         -0.001259066490802319      
1620000                 -73496317.57926337        127694540.3367536         30591.59521003068         -26.39394179030688         -14.78113549857884         -0.001291363653467492      
1647000                 -74207855.74354561        127293521.3991552         30556.37625633925         -26.31246982685824         -14.9238987640397          -0.001316185941104386      
1674000                 -74917184.51994874        126888653.6905044         30520.58992165327         -26.2302833462745          -15.06623009802878         -0.001333371841555575      
1701000                 -75624284.60635914        126479948.8386197         30484.44363566488         -26.1473814711319          -15.20813196891893         -0.001342842875608596      
1728000                 -76329136.66722904        126067418.4111586         30448.14582342655         -26.06376261846007         -15.34960634911862         -0.001344603603504524      
1755000                 -77031721.31578267        125651073.9302693         30411.90368823707         -25.97942459053316         -15.49065462186682         -0.001338739426079982      
1782000                 -77732019.09873633        125230926.8895795         30375.92108184844         -25.89436467928292         -15.6312775074104          -0.001325412334611364      
1809000                 -78430010.48409101        124806988.77282           30340.39651445299         -25.80857977954402         -15.77147501066533         -0.001304854870885386      
1836000                 -79125675.85196419        124379271.0736095         30305.52134806663         -25.72206650618106         -15.91124639108719         -0.001277362641821433      
1863000                 -79818995.4885821         123947785.315758          30271.47820703685         -25.63482131026957         -16.05059015428922         -0.001243285784997994      
1890000                 -80509949.58341925        123512543.073474          30238.43962857872         -25.54684058997254         -16.18950406383738         -0.001203019802439087      
1917000                 -81198518.22913738        123073555.991059          30206.56696453691         -25.45812079250137         -16.32798517072747         -0.001156996169712876      
1944000                 -81884681.42416529        122630835.8015745         30176.00953575224         -25.36865850438647         -16.46602985749386         -0.00110567309183196       
1971000                 -82568419.07752846        122184394.3441661         30146.90403010696         -25.27845052823365         -16.60363389353359         -0.001049526722773919      
1998000                 -83249711.01555727        121734243.5797797         30119.37412877381         -25.18749394504381         -16.74079249817511         -0.0009890430987873344     
2025000                 -83928536.99008113        121280395.6051083         30093.53033828735         -25.09578616199302         -16.87750040817546         -0.0009247109644432427     
2052000                 -84604876.68772227        120822862.6646918         30069.47000318021         -25.00332494628851         -17.01375194665776         -0.0008570155954874537     
