DefaultSC.ElapsedSecs   DefaultSC.SSBMJ2000Ec.X   DefaultSC.SSBMJ2000Ec.Y   DefaultSC.SSBMJ2000Ec.Z   DefaultSC.SSBMJ2000Ec.VX   DefaultSC.SSBMJ2000Ec.VY   DefaultSC.SSBMJ2000Ec.VZ   
4824034.22033235        -136142291.7156549        56854645.86356743         30538.4834506698          -12.0610291104368          -27.22596557828462         -5.90662811017495e-05      
4851034.22033235        -136465948.9342695        56118700.46820682         30536.82376211509         -11.91353026659055         -27.2883715959155          -6.386932406243773e-05     
4878034.22033235        -136785619.7051125        55381081.17679875         30535.03477983922         -11.76573754143813         -27.34995768015484         -6.864207746026807e-05     
4905034.22033235        -137101296.1630249        54641810.14342248         30533.11744338647         -11.61765609676028         -27.41072266064772         -7.337556612441176e-05     
4932034.22033235        -137412970.5825024        53900909.55328815         30531.07293121144         -11.46929111556433         -27.47066540180746         -7.806107034724619e-05     
4959034.22033235        -137720635.3782685        53158401.62179425         30528.90265347064         -11.32064780210165         -27.52978480309061         -8.269015292228232e-05     
4986034.22033235        -138024283.1058488        52414308.59357762         30526.60824400932         -11.1717313819033          -27.58807979928447         -8.725468542714054e-05     
5013034.22033235        -138323906.4621459        51668652.74155559         30524.19155165926         -11.02254710183553         -27.64554936080657         -9.174687391322323e-05     
5040034.22033235        -138619498.286017         50921456.36595966         30521.65463092923         -10.87310023017544         -27.70219249401477         -9.615928414774544e-05     
5067034.22033235        -138911051.5588526        50172741.79336091         30518.99973189458         -10.7233960567073          -27.75800824152753         -0.000100484866559114      
5094034.22033235        -139198559.405159         49422531.37568653         30516.22928948328         -10.57343989283957         -27.81299568255375         -0.0001047169809975657     
5121034.22033235        -139482015.0931441        48670847.48922721         30513.34591212496         -10.42323707174183         -27.86715393323199         -0.0001088494213217217     
5148034.22033235        -139761412.035307         47917712.53363556         30510.35236967355         -10.27279294850101         -27.92048214697891         -0.0001128764400171178     
5175034.22033235        -140036743.7890317        47163148.93091455         30507.25158068538         -10.12211290029563         -27.97297951484719         -0.0001167927726921647     
5202034.22033235        -140308004.0571866        46407179.12439662         30504.04659908637         -9.971202326586569         -28.02464526589311         -0.0001205936626291759     
5229034.22033235        -140575186.6887285        45649825.57771231         30500.7406000793          -9.820066649322408         -28.07547866755444         -0.0001242748852519071     
5256034.22033235        -140838285.6793129        44891110.77374891         30497.33686547168         -9.668711313157369         -28.12547902603943         -0.000127832772413683      
5283034.22033235        -141097295.1719101        44131057.21359813         30493.83876834437         -9.517141785679369         -28.17464568672771         -0.0001312642365896011     
5310034.22033235        -141352209.4574274        43369687.41549298         30490.24975703843         -9.36536355764564          -28.22297803458432         -0.0001345667946175411     
5337034.22033235        -141603022.9753383        42607023.91373327         30486.57333848998         -9.213382143223104         -28.2704754945882          -0.0001377385909844264     
5364034.22033235        -141849730.3143171        41843089.25759913         30482.81306103244         -9.061203080230671         -28.31713753217667         -0.0001407784204108253     
5391034.22033235        -142092326.2128816        41077906.01025254         30478.97249650583         -8.908831930380476         -28.36296365370782         -0.0001436857494798716     
5418034.22033235        -142330805.5600411        40311496.74762603         30475.05522184819         -8.756274279515104         -28.4079534069425          -0.0001464607371435278     
5445034.22033235        -142565163.3959507        39543884.05729794         30471.06480015256         -8.603535737837952         -28.45210638154831         -0.0001491042536905241     
5472034.22033235        -142795394.9125726        38775090.53735396         30467.0047612153          -8.450621940134065         -28.49542220962766         -0.0001516178980462968     
5499034.22033235        -143021495.4543423        38005138.79523393         30462.87858164311         -8.297538545978924         -28.53790056627297         -0.0001540040128968911     
5526034.22033235        -143243460.5188409        37234051.44656327         30458.68966461532         -8.144291239933196         -28.57954117015095         -0.0001562656974893883     
5553034.22033235        -143461285.7574716        36461851.11396831         30454.44131929055         -7.990885731721671         -28.62034378411952         -0.0001584068176310183     
5580034.22033235        -143674966.9761421        35688560.42587426         30450.13674001768         -7.837327756395323         -28.66030821588011         -0.0001604320126578074     
5607034.22033235        -143884500.1359499        34914202.01528532         30445.77898541279         -7.683623074475893         -28.69943431866841         -0.0001623466989784106     
5634034.22033235        -144089881.3538717        34138798.5185454          30441.37095734291         -7.529777472083105         -28.73772199198717         -0.0001641570699195682     
