DefaultSC.ElapsedSecs   DefaultSC.SunMJ2000Ec.X   DefaultSC.SunMJ2000Ec.Y   DefaultSC.SunMJ2000Ec.Z   DefaultSC.SunMJ2000Ec.VX   DefaultSC.SunMJ2000Ec.VY   DefaultSC.SunMJ2000Ec.VZ   
2443500                 -93095337.61474779        114255373.0692366         -110.8349251300097        -23.58759706155249         -18.91684660004886         0.0002192608099846893      
2457000                 -93413418.09480801        113999564.3477189         -107.8744892254472        -23.53540791461227         -18.9807172252414          0.0002193220095767501      
2470500                 -93730792.84353755        113742894.3680351         -104.9132383391261        -23.48304434443574         -19.04444032158304         0.0002193815482964823      
2484000                 -94047459.50916664        113485365.1250956         -101.9511949047446        -23.43050678738662         -19.10801540476163         0.0002194394258907551      
2497500                 -94363415.74582574        113226978.6203391         -98.98838134109974        -23.37779568121387         -19.17144199186133         0.0002194956421215366      
2511000                 -94678659.21356425        112967736.8617147         -96.02482007443905        -23.32491146504666         -19.23471960136677         0.0002195501967614533      
2524500                 -94993187.57836908        112707641.8636622         -93.06053351610899        -23.27185457938929         -19.29784775316718         0.0002196030895991186      
2538000                 -95306998.51218326        112446695.6470932         -90.09554412961006        -23.21862546611618         -19.36082596856053         0.0002196543204364687      
2551500                 -95620089.69292432        112184900.2393728         -87.12987434864044        -23.16522456846673         -19.42365377025763         0.0002197038890896508      
2565000                 -95932458.80450268        111922257.6742995         -84.16354661434889        -23.1116523310403          -19.48633068238623         0.0002197517953872463      
2578500                 -96244103.53684002        111658769.9920867         -81.196583352983          -23.05790919979104         -19.54885623049503         0.0002197980391809296      
2592000                 -96555021.58588752        111394439.2393431         -78.22900704294443        -23.00399562202284         -19.61122994155777         0.0002198426203250392      
2605500                 -96865210.65364403        111129267.4690538         -75.26084009557962        -22.94991204638414         -19.67345134397721         0.0002198855386961185      
2619000                 -97174668.44817422        110863256.7405606         -72.29210498183966        -22.89565892286286         -19.73551996758916         0.0002199267941866978      
2632500                 -97483392.68362659        110596409.119543          -69.32282414287329        -22.84123670278119         -19.79743534366643         0.0002199663866946366      
2646000                 -97791381.08025152        110328726.6779985         -66.35302003473043        -22.78664583879042         -19.85919700492276         0.0002200043161373344      
2659500                 -98098631.36441904        110060211.4942232         -63.38271509855986        -22.73188678486583         -19.92080448551681         0.0002200405824464013      
2673000                 -98405141.26863684        109790865.6527925         -60.41193181276321        -22.67695999630142         -19.98225732105603         0.0002200751855667704      
2686500                 -98710908.53156784        109520691.2445409         -57.44069258868694        -22.62186592970476         -20.04355504860056         0.0002201081254646908      
2700000                 -99015930.89804813        109249690.3665432         -54.4690199047327         -22.56660504299176         -20.10469720666708         0.0002201394021117409      
2713500                 -99320206.11910436        108977865.1220939         -51.49693621695042        -22.51117779538144         -20.16568333523266         0.0002201690154892688      
2727000                 -99623731.95197152        108705217.6206884         -48.52446396648884        -22.45558464739069         -20.22651297573861         0.000220196965608821       
2740500                 -99926506.16011018        108431749.9780024         -45.55162560939789        -22.39982606082901         -20.28718567109424         0.0002202232524846082      
2754000                 -100228526.5132241        108157464.3158725         -42.57844362407923        -22.34390249879331         -20.34770096568065         0.0002202478761450522      
2767500                 -100529790.7872775        107882362.7622763         -39.60494044423103        -22.28781442566252         -20.40805840535453         0.0002202708366390027      
2781000                 -100830296.7645123        107606447.4513122         -36.63113851845264        -22.23156230709243         -20.46825753745183         0.0002202921340215269      
2794500                 -101130042.2334655        107329720.5231797         -33.65706030279398        -22.17514661001031         -20.52829791079151         0.0002203117683725608      
2808000                 -101429024.988986         107052184.1241591         -30.68272825330496        -22.11856780260964         -20.58817907567921         0.0002203297397764814      
2821500                 -101727242.8322519        106773840.4065915         -27.70816481113434        -22.06182635434479         -20.64790058391095         0.0002203460483372055      
2835000                 -102024693.5707874        106494691.5288588         -24.73339242488146        -22.00492273592564         -20.70746198877676         0.0002203606941710845      
2848500                 -102321375.0184798        106214739.6553634         -21.75843355804682        -21.94785741931232         -20.76686284506428         0.0002203736774077925      
2862000                 -102617284.9955962        105933986.9565076         -18.78331062197685        -21.89063087770981         -20.82610270906241         0.0002203849981885497      
2875500                 -102912421.3288004        105652435.6086741         -15.80804608762264        -21.8332435855626          -20.88518113856485         0.0002203946566785575      
2889000                 -103206781.8511694        105370087.794205          -12.8326623737812         -21.77569601854926         -20.9440976928737          0.0002204026530474579      
2902500                 -103500364.4022102        105086945.7013815         -9.857181951403618        -21.71798865357714         -21.00285193280295         0.0002204089874835447      
2916000                 -103793166.8278766        104803011.5244038         -6.881627202033997        -21.66012196877694         -21.06144342068201         0.0002204136601893225      
2929500                 -104085186.9805848        104518287.4633702         -3.906020596623421        -21.60209644349727         -21.11987172035923         0.0002204166713788425      
2943000                 -104376422.7192311        104232775.724257          -0.9303845465183258       -21.54391255829929         -21.17813639720531         0.0002204180212830309      
2956500                 -104666871.9092071        103946478.5188976         2.04525849968195          -21.48557079495127         -21.23623701811683         0.0002204177101443605      
2970000                 -104956532.4224163        103659398.0649619         5.020886138081551         -21.42707163642312         -21.29417315151958         0.0002204157382212912      
2983500                 -105245402.1372908        103371536.5859358         7.996475957334042         -21.36841556688101         -21.35194436737204         0.000220412105787382       
2997000                 -105533478.9388065        103082896.3111003         10.97200554609299         -21.30960307168186         -21.40955023716872         0.00022040681312685        
3010500                 -105820760.7185           102793479.475511          13.94745246320963         -21.25063463736791         -21.46699033394351         0.0002203998605354585      
3024000                 -106107245.374484         102503288.319977          16.92279431968927         -21.19151075166121         -21.52426423227307         0.0002203912483329518      
